,1. open,2. high,3. low,4. close,5. volume
2026-06-23,372.38,377.22,370.67,373.94,40647605.0
2026-06-22,375.74,381.63,367.07,367.34,45171106.0
2026-06-18,377.82,381.37,373.28,379.4,59714157.0
2026-06-17,390.25,390.37,377.32,378.91,41987834.0
2026-06-16,395.79,396.84,390.69,393.83,31506846.0
2026-06-15,396.795,401.75,392.845,399.76,32266437.0
2026-06-12,391.43,391.74,382.27,390.74,34922036.0
2026-06-11,395.205,396.85,384.0,390.34,47224135.0
2026-06-10,398.55,405.04,397.16,397.36,32576041.0
2026-06-09,409.03,411.98,398.48,403.41,35317302.0
2026-06-08,414.14,417.1599,408.56,411.74,32086714.0
2026-06-05,428.34,429.47,414.4,416.67,34782164.0
2026-06-04,435.81,436.15,426.41,428.05,26899511.0
2026-06-03,438.45,440.39,424.25,427.34,39037007.0
2026-06-02,446.88,453.5,440.43,441.31,37036801.0
2026-06-01,464.84,466.32,458.27,460.52,53628910.0
2026-05-29,432.545,450.33,432.36,450.24,79654376.0
2026-05-28,412.975,429.49,412.67,426.99,47250541.0
2026-05-27,411.01,415.94,409.58,412.67,28901479.0
2026-05-26,416.43,419.77,413.02,416.03,30398049.0
2026-05-22,419.535,424.4,416.33,418.57,22390344.0
2026-05-21,424.75,426.34,415.71,419.09,31393469.0
2026-05-20,414.165,422.1,411.3001,421.06,27655979.0
2026-05-19,429.9,432.7,416.49,417.42,33018678.0
2026-05-18,416.62,425.12,415.61,423.54,32564130.0
2026-05-15,414.27,428.17,412.91,421.92,50771160.0
2026-05-14,404.48,411.84,400.88,409.43,27077542.0
2026-05-13,403.2,406.31,401.03,405.21,29667073.0
2026-05-12,414.48,415.5,406.64,407.77,38594221.0
2026-05-11,407.87,412.69,405.5,412.66,35657943.0
2026-05-08,417.385,418.63,414.0,415.12,33383790.0
2026-05-07,420.11,427.98,418.76,420.77,34942445.0
2026-05-06,408.0,418.4228,405.11,413.96,30285898.0
2026-05-05,415.32,416.7799,408.8,411.38,25700891.0
2026-05-04,411.54,420.78,410.8,413.62,28066528.0
2026-05-01,412.8,417.11,410.435,414.44,31372361.0
2026-04-30,410.81,414.42,398.01,407.78,70909408.0
2026-04-29,424.575,426.82,420.29,424.46,38288316.0
2026-04-28,424.57,429.92,421.9,429.25,30438087.0
2026-04-27,422.375,427.11,417.0701,424.82,30867303.0
2026-04-24,416.97,424.95,415.8,424.62,27457404.0
2026-04-23,419.885,423.66,411.4101,415.75,38307959.0
2026-04-22,426.185,433.7,423.67,432.92,29378173.0
2026-04-21,420.24,427.18,417.2,424.16,32048495.0
2026-04-20,421.145,423.33,416.3,418.07,27582237.0
2026-04-17,424.82,431.58,420.69,422.79,48568190.0
2026-04-16,419.86,420.82,412.14,420.26,41642361.0
2026-04-15,398.0,414.3699,396.73,411.22,45063389.0
2026-04-14,387.915,394.69,386.52,393.11,37504486.0
2026-04-13,373.605,384.54,371.02,384.37,35745781.0
2026-04-10,372.98,375.64,370.03,370.87,28111128.0
2026-04-09,372.5,373.5,367.05,373.07,30435297.0
2026-04-08,384.98,385.0,371.41,374.33,33064818.0
2026-04-07,370.34,372.45,366.56,372.29,21443349.0
2026-04-06,373.49,373.73,369.5014,372.88,16146572.0
2026-04-02,367.205,373.64,364.15,373.46,24099067.0
2026-04-01,373.49,373.99,368.2,369.37,29417206.0
2026-03-31,364.55,372.9,363.07,370.17,45244365.0
2026-03-30,361.895,365.36,356.28,358.96,44797002.0
2026-03-27,361.9,362.45,356.51,356.77,37883400.0
2026-03-26,370.815,374.7199,365.19,365.97,36836574.0
2026-03-25,376.92,377.06,369.63,371.04,31181163.0
2026-03-24,382.36,382.47,371.85,372.74,42733625.0
2026-03-23,383.9,387.21,381.68,383.0,29680059.0
2026-03-20,386.79,387.0,380.12,381.87,50853154.0
2026-03-19,390.1,392.49,387.06,389.02,25138772.0
2026-03-18,397.125,398.0,391.0,391.79,25908484.0
2026-03-17,400.27,404.4,397.745,399.41,26228279.0
2026-03-16,398.07,400.63,394.79,399.95,27733721.0
2026-03-13,401.0,404.8,394.25,395.55,26848000.0
